state,pc_no,pc_name,candidate,party,total_votes,vote_share,winning_margin
Andhra Pradesh,1,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,40.96,50580.0
Andhra Pradesh,2,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328,61.05,327901.0
Andhra Pradesh,3,Vizianagaram,APPALANAIDU KALISETTI,Telugu Desam,743113,57.2,249351.0
Andhra Pradesh,4,Visakhapatnam,SRIBHARAT MATHUKUMILI,Telugu Desam,907467,65.42,504247.0
Andhra Pradesh,5,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,762069,57.5,296530.0
Andhra Pradesh,6,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,729699,54.87,229491.0
Andhra Pradesh,7,Amalapuram (SC),G M HARISH (BALAYOGI),Telugu Desam,796981,61.25,342196.0
Andhra Pradesh,8,Rajahmundry,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,726515,54.82,239139.0
Andhra Pradesh,9,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,707343,57.46,276802.0
Andhra Pradesh,10,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,746351,54.0,181857.0
Andhra Pradesh,11,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,724439,55.22,223179.0
Andhra Pradesh,12,Vijayawada,KESINENI SIVANATH (CHINNI),Telugu Desam,794154,58.21,282085.0
Andhra Pradesh,13,Guntur,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948,60.68,344695.0
Andhra Pradesh,14,Narsaraopet,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,807996,53.88,159729.0
Andhra Pradesh,15,Bapatla (SC),KRISHNA PRASAD TENNETI,Telugu Desam,717493,55.16,208031.0
Andhra Pradesh,16,Ongole,MAGUNTA SREENIVASULU REDDY,Telugu Desam,701894,49.35,50199.0
Andhra Pradesh,17,Nandyal,DR BYREDDY SHABARI,Telugu Desam,701131,49.92,111975.0
Andhra Pradesh,18,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914,49.51,111298.0
Andhra Pradesh,19,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245,53.33,188555.0
Andhra Pradesh,20,Hindupur,B K PARTHASARATHI,Telugu Desam,725534,51.23,132427.0
Andhra Pradesh,21,Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143,45.78,62695.0
Andhra Pradesh,22,Nellore,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,766202,55.7,245902.0
Andhra Pradesh,23,Thirupathi(SC),GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,632228,45.73,14569.0
Andhra Pradesh,24,Rajampet,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,644844,48.38,76071.0
Andhra Pradesh,25,Chittoor(SC),DAGGUMALLA PRASADA RAO,Telugu Desam,778071,54.84,220479.0
Arunachal Pradesh,1,Arunachal West,KIREN RIJIJU,Bharatiya Janata Party,205417,51.38,100738.0
Arunachal Pradesh,2,Arunachal East,TAPIR GAO,Bharatiya Janata Party,145581,45.01,30421.0
Assam,1,Kokrajhar,JOYANTA BASUMATARY,"United People’s Party, Liberal",488995,39.39,51583.0
Assam,2,Dhubri,RAKIBUL HUSSAIN,Indian National Congress,1471885,59.99,1012476.0
Assam,3,Barpeta,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,860113,51.02,222351.0
Assam,4,Darrang-Udalguri,DILIP SAIKIA,Bharatiya Janata Party,868387,47.95,329012.0
Assam,5,Guwahati,BIJULI KALITA  MEDHI,Bharatiya Janata Party,894887,55.95,251090.0
Assam,6,Diphu,AMARSING TISSO,Bharatiya Janata Party,334620,49.01,147603.0
Assam,7,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,545093,47.53,18360.0
Assam,8,Silchar,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,652405,59.89,264311.0
Assam,9,Nagaon,PRADYUT BORDOLOI,Indian National Congress,788850,50.89,212231.0
Assam,10,Kaziranga,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,897043,55.04,248947.0
Assam,11,Sonitpur,RANJIT DUTTA,Bharatiya Janata Party,775788,60.21,361408.0
Assam,12,Lakhimpur,PRADAN BARUAH,Bharatiya Janata Party,663122,54.75,201257.0
Assam,13,Dibrugarh,SARBANANDA SONOWAL,Bharatiya Janata Party,693762,54.27,279321.0
Assam,14,Jorhat,GAURAV GOGOI,Indian National Congress,751771,54.04,144393.0
Bihar,1,Valmiki Nagar,SUNIL KUMAR,Janata Dal  (United),523422,47.5,98675.0
Bihar,2,Paschim Champaran,DR.SANJAY JAISWAL,Bharatiya Janata Party,580421,53.43,136568.0
Bihar,3,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,542193,50.5,88287.0
Bihar,4,Sheohar,LOVELY ANAND,Janata Dal  (United),476612,45.15,29143.0
Bihar,5,Sitamarhi,DEVESH CHANDRA THAKUR,Janata Dal  (United),515719,47.14,51356.0
Bihar,6,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,553428,53.85,151945.0
Bihar,7,Jhanjharpur,RAMPRIT MANDAL,Janata Dal  (United),533032,48.73,184169.0
Bihar,8,Supaul,DILESHWAR KAMAIT,Janata Dal  (United),595038,48.33,169803.0
Bihar,9,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,600146,47.91,20094.0
Bihar,10,Kishanganj,MOHAMMAD JAWED,Indian National Congress,402850,35.0,59692.0
Bihar,11,Katihar,TARIQ ANWAR,Indian National Congress,567092,48.41,49863.0
Bihar,12,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,567556,47.46,23847.0
Bihar,13,Madhepura,DINESH CHANDRA YADAV,Janata Dal  (United),640649,52.96,174534.0
Bihar,14,Darbhanga,GOPAL JEE THAKUR,Bharatiya Janata Party,566630,55.33,178156.0
Bihar,15,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,619749,55.71,234927.0
Bihar,16,Vaishali,VEENA DEVI,Lok Janshakti Party(Ram Vilas),567043,48.38,89634.0
Bihar,17,Gopalganj,DR. ALOK KUMAR SUMAN,Janata Dal  (United),511866,48.15,127180.0
Bihar,18,Siwan,VIJAYLAKSHMI DEVI,Janata Dal  (United),386508,38.73,92857.0
Bihar,19,Maharajganj,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,529533,52.22,102651.0
Bihar,20,Saran,RAJIV PRATAP RUDY,Bharatiya Janata Party,471752,46.18,13661.0
Bihar,21,Hajipur,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),615718,53.29,170105.0
Bihar,22,Ujiarpur,NITYANAND RAI,Bharatiya Janata Party,515965,49.51,60102.0
Bihar,23,Samastipur,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579786,52.97,187251.0
Bihar,24,Begusarai,GIRIRAJ SINGH,Bharatiya Janata Party,649331,50.15,81480.0
Bihar,25,Khagaria,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),538657,50.73,161131.0
Bihar,26,Bhagalpur,AJAY KUMAR MANDAL,Janata Dal  (United),536031,50.38,104868.0
Bihar,27,Banka,GIRIDHARI YADAV,Janata Dal  (United),506678,49.96,103844.0
Bihar,28,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),550146,48.3,80870.0
Bihar,29,Nalanda,KAUSHALENDRA KUMAR,Janata Dal  (United),559422,48.88,169114.0
Bihar,30,Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,588270,54.7,153846.0
