state,constituency,winning_party
Andhra Pradesh,Amalapuram (SC),Telugu Desam
Andhra Pradesh,Anakapalle,Bharatiya Janata Party
Andhra Pradesh,Ananthapur,Telugu Desam
Andhra Pradesh,Araku (ST),Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Bapatla (SC),Telugu Desam
Andhra Pradesh,Chittoor(SC),Telugu Desam
Andhra Pradesh,Eluru,Telugu Desam
Andhra Pradesh,Guntur,Telugu Desam
Andhra Pradesh,Hindupur,Telugu Desam
Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Kakinada,Janasena Party
Andhra Pradesh,Kurnoolu,Telugu Desam
Andhra Pradesh,Machilipatnam,Janasena Party
Andhra Pradesh,Nandyal,Telugu Desam
Andhra Pradesh,Narsapuram,Bharatiya Janata Party
Andhra Pradesh,Narsaraopet,Telugu Desam
Andhra Pradesh,Nellore,Telugu Desam
Andhra Pradesh,Ongole,Telugu Desam
Andhra Pradesh,Rajahmundry,Bharatiya Janata Party
Andhra Pradesh,Rajampet,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Srikakulam,Telugu Desam
Andhra Pradesh,Thirupathi(SC),Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Vijayawada,Telugu Desam
Andhra Pradesh,Visakhapatnam,Telugu Desam
Andhra Pradesh,Vizianagaram,Telugu Desam
Arunachal Pradesh,Arunachal East,Bharatiya Janata Party
Arunachal Pradesh,Arunachal West,Bharatiya Janata Party
Assam,Barpeta,Asom Gana Parishad
Assam,Darrang-Udalguri,Bharatiya Janata Party
Assam,Dhubri,Indian National Congress
Assam,Dibrugarh,Bharatiya Janata Party
Assam,Diphu,Bharatiya Janata Party
Assam,Guwahati,Bharatiya Janata Party
Assam,Jorhat,Indian National Congress
Assam,Karimganj,Bharatiya Janata Party
Assam,Kaziranga,Bharatiya Janata Party
Assam,Kokrajhar,"United People’s Party, Liberal"
Assam,Lakhimpur,Bharatiya Janata Party
Assam,Nagaon,Indian National Congress
Assam,Silchar,Bharatiya Janata Party
Assam,Sonitpur,Bharatiya Janata Party
Bihar,Araria,Bharatiya Janata Party
Bihar,Arrah,Communist Party of India  (Marxist-Leninist)  (Liberation)
Bihar,Aurangabad,Rashtriya Janata Dal
Bihar,Banka,Janata Dal  (United)
Bihar,Begusarai,Bharatiya Janata Party
Bihar,Bhagalpur,Janata Dal  (United)
Bihar,Buxar,Rashtriya Janata Dal
Bihar,Darbhanga,Bharatiya Janata Party
Bihar,Gaya,Hindustani Awam Morcha (Secular)
Bihar,Gopalganj,Janata Dal  (United)
Bihar,Hajipur,Lok Janshakti Party(Ram Vilas)
Bihar,Jahanabad,Rashtriya Janata Dal
Bihar,Jamui,Lok Janshakti Party(Ram Vilas)
Bihar,Jhanjharpur,Janata Dal  (United)
Bihar,Karakat,Communist Party of India  (Marxist-Leninist)  (Liberation)
Bihar,Katihar,Indian National Congress
Bihar,Khagaria,Lok Janshakti Party(Ram Vilas)
Bihar,Kishanganj,Indian National Congress
Bihar,Madhepura,Janata Dal  (United)
Bihar,Madhubani,Bharatiya Janata Party
Bihar,Maharajganj,Bharatiya Janata Party
Bihar,Munger,Janata Dal  (United)
Bihar,Muzaffarpur,Bharatiya Janata Party
Bihar,Nalanda,Janata Dal  (United)
Bihar,Nawada,Bharatiya Janata Party
Bihar,Paschim Champaran,Bharatiya Janata Party
Bihar,Patliputra,Rashtriya Janata Dal
Bihar,Patna Sahib,Bharatiya Janata Party
Bihar,Purnia,Independent
Bihar,Purvi Champaran,Bharatiya Janata Party
Bihar,Samastipur,Lok Janshakti Party(Ram Vilas)
Bihar,Saran,Bharatiya Janata Party
Bihar,Sasaram,Indian National Congress
Bihar,Sheohar,Janata Dal  (United)
Bihar,Sitamarhi,Janata Dal  (United)
Bihar,Siwan,Janata Dal  (United)
Bihar,Supaul,Janata Dal  (United)
Bihar,Ujiarpur,Bharatiya Janata Party
Bihar,Vaishali,Lok Janshakti Party(Ram Vilas)
Bihar,Valmiki Nagar,Janata Dal  (United)
Goa,North Goa,Bharatiya Janata Party
Goa,South Goa,Indian National Congress
Gujarat,Ahmedabad East,Bharatiya Janata Party
Gujarat,Ahmedabad West,Bharatiya Janata Party
Gujarat,Amreli,Bharatiya Janata Party
Gujarat,Anand,Bharatiya Janata Party
Gujarat,Banaskantha,Indian National Congress
Gujarat,Bardoli,Bharatiya Janata Party
Gujarat,Bharuch,Bharatiya Janata Party
Gujarat,Bhavnagar,Bharatiya Janata Party
Gujarat,Chhota Udaipur,Bharatiya Janata Party
Gujarat,Dahod,Bharatiya Janata Party
Gujarat,Gandhinagar,Bharatiya Janata Party
Gujarat,Jamnagar,Bharatiya Janata Party
Gujarat,Junagadh,Bharatiya Janata Party
Gujarat,Kachchh,Bharatiya Janata Party
Gujarat,Kheda,Bharatiya Janata Party
Gujarat,Mahesana,Bharatiya Janata Party
Gujarat,Navsari,Bharatiya Janata Party
Gujarat,Panchmahal,Bharatiya Janata Party
Gujarat,Patan,Bharatiya Janata Party
Gujarat,Porbandar,Bharatiya Janata Party
Gujarat,Rajkot,Bharatiya Janata Party
Gujarat,Sabarkantha,Bharatiya Janata Party
Gujarat,Surat,Bharatiya Janata Party
Gujarat,Surendranagar,Bharatiya Janata Party
Gujarat,Vadodara,Bharatiya Janata Party
Gujarat,Valsad,Bharatiya Janata Party
Haryana,AMBALA,Indian National Congress
Haryana,BHIWANI-MAHENDRAGARH,Bharatiya Janata Party
Haryana,FARIDABAD,Bharatiya Janata Party
Haryana,GURGAON,Bharatiya Janata Party
Haryana,HISAR,Indian National Congress
Haryana,KARNAL,Bharatiya Janata Party
Haryana,KURUKSHETRA,Bharatiya Janata Party
Haryana,ROHTAK,Indian National Congress
Haryana,SIRSA,Indian National Congress
Haryana,SONIPAT,Indian National Congress
Himachal Pradesh,HAMIRPUR,Bharatiya Janata Party
Himachal Pradesh,KANGRA,Bharatiya Janata Party
Himachal Pradesh,MANDI,Bharatiya Janata Party
Himachal Pradesh,SHIMLA,Bharatiya Janata Party
Karnataka,Bagalkot,Bharatiya Janata Party
Karnataka,Bangalore central,Bharatiya Janata Party
Karnataka,Bangalore North,Bharatiya Janata Party
Karnataka,Bangalore Rural,Bharatiya Janata Party
Karnataka,Bangalore South,Bharatiya Janata Party
Karnataka,Belgaum,Bharatiya Janata Party
Karnataka,Bellary,Indian National Congress
Karnataka,Bidar,Indian National Congress
Karnataka,Bijapur,Bharatiya Janata Party
Karnataka,Chamarajanagar,Indian National Congress
Karnataka,Chikkballapur,Bharatiya Janata Party
Karnataka,Chikkodi,Indian National Congress
Karnataka,Chitradurga,Bharatiya Janata Party
Karnataka,Dakshina Kannada,Bharatiya Janata Party
Karnataka,Davanagere,Indian National Congress
Karnataka,Dharwad,Bharatiya Janata Party
Karnataka,Gulbarga,Indian National Congress
Karnataka,Hassan,Indian National Congress
Karnataka,Haveri,Bharatiya Janata Party
Karnataka,Kolar,Janata Dal  (Secular)
Karnataka,Koppal,Indian National Congress
Karnataka,Mandya,Janata Dal  (Secular)
Karnataka,Mysore,Bharatiya Janata Party
Karnataka,Raichur,Indian National Congress
Karnataka,Shimoga,Bharatiya Janata Party
Karnataka,Tumkur,Bharatiya Janata Party
Karnataka,Udupi Chikmagalur,Bharatiya Janata Party
Karnataka,Uttara Kannada,Bharatiya Janata Party
Kerala,Alappuzha,Indian National Congress
Kerala,Alathur,Communist Party of India  (Marxist)
Kerala,Attingal,Indian National Congress
Kerala,Chalakudy,Indian National Congress
Kerala,Ernakulam,Indian National Congress
Kerala,Idukki,Indian National Congress
Kerala,Kannur,Indian National Congress
Kerala,Kasaragod,Indian National Congress
Kerala,Kollam,Revolutionary Socialist Party
Kerala,Kottayam,Kerala Congress
Kerala,Kozhikode,Indian National Congress
Kerala,Malappuram,Indian Union Muslim League
Kerala,Mavelikkara,Indian National Congress
Kerala,Palakkad,Indian National Congress
Kerala,Pathanamthitta,Indian National Congress
Kerala,Ponnani,Indian Union Muslim League
Kerala,Thiruvananthapuram,Indian National Congress
Kerala,Thrissur,Bharatiya Janata Party
Kerala,Vadakara,Indian National Congress
Kerala,Wayanad,Indian National Congress
Madhya Pradesh,BALAGHAT,Bharatiya Janata Party
Madhya Pradesh,BETUL,Bharatiya Janata Party
Madhya Pradesh,BHIND,Bharatiya Janata Party
