party,total_votes,national_vote_share
Bharatiya Janata Party,235973935,36.56
Indian National Congress,136759064,21.19
Samajwadi Party,29549381,4.58
All India Trinamool Congress,28213393,4.37
Independent,17844442,2.77
Yuvajana Sramika Rythu Congress Party,13316039,2.06
Bahujan Samaj Party,13153818,2.04
Telugu Desam,12775270,1.98
Dravida Munnetra Kazhagam,11754710,1.82
Communist Party of India  (Marxist),11342553,1.76
Rashtriya Janata Dal,10107402,1.57
Shiv Sena (Uddhav Balasaheb Thackrey),9567779,1.48
Biju Janata Dal,9413379,1.46
All India Anna Dravida Munnetra Kazhagam,8952587,1.39
Janata Dal  (United),8039663,1.25
Shiv Sena,7401447,1.15
Aam Aadmi Party,7147800,1.11
None of the Above,6372220,0.99
Nationalist Congress Party – Sharadchandra Pawar,5921162,0.92
Bharat Rashtra Samithi,3657237,0.57
Naam Tamilar Katchi,3600088,0.56
Communist Party of India,3157184,0.49
Lok Janshakti Party(Ram Vilas),2810250,0.44
Jharkhand Mukti Morcha,2652955,0.41
Janata Dal  (Secular),2173701,0.34
Nationalist Congress Party,2059179,0.32
Pattali Makkal Katchi,1879689,0.29
Shiromani Akali Dal,1814318,0.28
Communist Party of India  (Marxist-Leninist)  (Liberation),1736771,0.27
Indian Union Muslim League,1716186,0.27
Vanchit Bahujan  Aaghadi,1582855,0.25
Janasena Party,1454138,0.23
All India Majlis-E-Ittehadul Muslimeen,1400215,0.22
Asom Gana Parishad,1298707,0.2
Bharat Adivasi Party,1257056,0.19
Vikassheel Insaan Party,1187455,0.18
Jammu & Kashmir National Conference,1147041,0.18
Desiya Murpokku Dravida Kazhagam,1128616,0.17
Viduthalai Chiruthaigal Katchi,990237,0.15
Rashtriya Lok Dal,893460,0.14
Apna Dal (Soneylal),808245,0.13
Bodoland Peoples Front,777570,0.12
Aazad Samaj Party (Kanshi Ram),691820,0.11
All India Secular Front,650229,0.1
All India United Democratic Front,625954,0.1
Rashtriya Loktantrik Party,596955,0.09
Revolutionary Socialist Party,587363,0.09
Voice of the People Party,571078,0.09
Marumalarchi Dravida Munnetra Kazhagam,542213,0.08
Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),521749,0.08
Rashtriya Samaj Paksha,521746,0.08
Bharath Dharma Jana Sena,505753,0.08
Hindustani Awam Morcha (Secular),494960,0.08
"United People’s Party, Liberal",488995,0.08
Socialist Unity Centre Of India (COMMUNIST),480997,0.07
AJSU Party,458677,0.07
Jammu & Kashmir Peoples Democratic Party,435980,0.07
National People's Party,417930,0.06
Assam Jatiya Parishad,414441,0.06
Tamil Maanila Congress  (Moopanar),410401,0.06
Amma Makkal Munnettra Kazagam,393415,0.06
Kerala Congress,364631,0.06
Nationalist Democratic Progressive Party,350967,0.05
Suheldev Bharatiya Samaj Party,340188,0.05
Gondvana Gantantra Party,312997,0.05
Naga Peoples Front,299536,0.05
All India Forward Bloc,289941,0.04
Kerala Congress  (M),277365,0.04
Bahujan Vikas Aaghadi,254517,0.04
Rashtriya Lok Morcha,253876,0.04
Peoples Party of India (Democratic),247985,0.04
Indian National Lok Dal,226975,0.04
Zoram People’s Movement,208552,0.03
Jammu and Kashmir Apni Party,208149,0.03
Swabhimani Paksha,185371,0.03
Gana Suraksha Party,180000,0.03
Jammu & Kashmir People Conference,174890,0.03
Rashtriya Jansambhavna Party,168740,0.03
Sikkim Krantikari Morcha,164396,0.03
Republican Party of India (Athawale),155721,0.02
Twenty 20 Party,145450,0.02
Mizo National Front,140264,0.02
Ambedkarite Party of India,132444,0.02
Bhartiya Shakti Chetna Party,115024,0.02
Jannayak Janta Party,113827,0.02
Akhil Bhartiya Parivar Party,110210,0.02
Alliance of Democratic Reforms Party,108334,0.02
Prahar Janshakti Party,90759,0.01
Citizen Action Party-Sikkim,83566,0.01
New Rashtriya Samaj Party,83046,0.01
Bharatheeya Jawan Kisan Party,78104,0.01
Sikkim Democratic Front,77171,0.01
Bahujan Maha Party,76254,0.01
Viro Ke Vir Indian Party,75941,0.01
Bahujan Mukti Party,73935,0.01
Samata Party,73318,0.01
Navarang Congress Party,67432,0.01
Samnak Janta Party,67374,0.01
Revolutionary Goans Party,64578,0.01
Voters Party  International,63496,0.01
Lokhit Adhikar Party,62136,0.01
Moolniwasi Samaj Party,61033,0.01
Ekam Sanatan Bharat Dal,61024,0.01
Right to Recall Party,58024,0.01
