state,party,seats_won,total_votes
Andaman & Nicobar Islands,Bharatiya Janata Party,1,102436
Andhra Pradesh,Telugu Desam,16,12232822
Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,4,2359220
Andhra Pradesh,Bharatiya Janata Party,3,2195927
Andhra Pradesh,Janasena Party,2,1454138
Arunachal Pradesh,Bharatiya Janata Party,2,350998
Assam,Bharatiya Janata Party,9,6325107
Assam,Indian National Congress,3,3012506
Assam,Asom Gana Parishad,1,860113
Assam,"United People’s Party, Liberal",1,488995
Bihar,Bharatiya Janata Party,12,6628026
Bihar,Janata Dal  (United),12,6335123
Bihar,Lok Janshakti Party(Ram Vilas),5,2810250
Bihar,Rashtriya Janata Dal,4,1960230
Bihar,Indian National Congress,3,1482946
Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),2,909963
Bihar,Hindustani Awam Morcha (Secular),1,494960
Bihar,Independent,1,567556
Chandigarh,Indian National Congress,1,216657
Chhattisgarh,Bharatiya Janata Party,10,7403197
Chhattisgarh,Indian National Congress,1,570182
Dadra & Nagar Haveli and Daman & Diu,Bharatiya Janata Party,1,121074
Dadra & Nagar Haveli and Daman & Diu,Independent,1,42523
Goa,Bharatiya Janata Party,1,257326
Goa,Indian National Congress,1,217836
Gujarat,Bharatiya Janata Party,24,17348473
Gujarat,Indian National Congress,1,671883
Haryana,Bharatiya Janata Party,5,3467029
Haryana,Indian National Congress,5,3300164
Himachal Pradesh,Bharatiya Janata Party,4,2296631
Jammu and Kashmir,Bharatiya Janata Party,2,1258664
Jammu and Kashmir,Jammu & Kashmir National Conference,2,878702
Jammu and Kashmir,Independent,1,472481
Jharkhand,Bharatiya Janata Party,8,5664406
Jharkhand,Jharkhand Mukti Morcha,3,1680905
Jharkhand,Indian National Congress,2,994685
Jharkhand,AJSU Party,1,451139
Karnataka,Bharatiya Janata Party,17,13083954
Karnataka,Indian National Congress,9,6155139
Karnataka,Janata Dal  (Secular),2,1543362
Kerala,Indian National Congress,14,6292511
Kerala,Indian Union Muslim League,2,1206522
Kerala,Bharatiya Janata Party,1,412338
Kerala,Communist Party of India  (Marxist),1,403447
Kerala,Kerala Congress,1,364631
Kerala,Revolutionary Socialist Party,1,443628
Ladakh,Independent,1,65259
Lakshadweep,Indian National Congress,1,25726
Madhya Pradesh,Bharatiya Janata Party,29,22490851
Maharashtra,Indian National Congress,13,7958879
Maharashtra,Bharatiya Janata Party,9,5303130
Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey),9,4772796
Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,8,4971873
Maharashtra,Shiv Sena,7,3815530
Maharashtra,Independent,1,571666
Maharashtra,Nationalist Congress Party,1,508352
Manipur,Indian National Congress,2,758971
Meghalaya,Indian National Congress,1,383919
Meghalaya,Voice of the People Party,1,571078
Mizoram,Zoram People’s Movement,1,208552
NCT OF Delhi,Bharatiya Janata Party,7,4860924
Nagaland,Indian National Congress,1,401951
Odisha,Bharatiya Janata Party,20,11178275
Odisha,Indian National Congress,1,471393
Puducherry,Indian National Congress,1,426005
Punjab,Indian National Congress,7,2236334
Punjab,Aam Aadmi Party,3,981161
Punjab,Independent,2,702492
Punjab,Shiromani Akali Dal,1,376558
Rajasthan,Bharatiya Janata Party,14,10566349
Rajasthan,Indian National Congress,8,5092477
Rajasthan,Bharat Adivasi Party,1,820831
Rajasthan,Communist Party of India  (Marxist),1,659300
Rajasthan,Rashtriya Loktantrik Party,1,596955
Sikkim,Sikkim Krantikari Morcha,1,164396
Tamil Nadu,Dravida Munnetra Kazhagam,22,11754710
Tamil Nadu,Indian National Congress,9,4659734
Tamil Nadu,Communist Party of India,2,937783
Tamil Nadu,Communist Party of India  (Marxist),2,1100472
Tamil Nadu,Viduthalai Chiruthaigal Katchi,2,982117
Tamil Nadu,Indian Union Muslim League,1,509664
Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam,1,542213
Telangana,Bharatiya Janata Party,8,5001502
Telangana,Indian National Congress,8,4843554
Telangana,All India Majlis-E-Ittehadul Muslimeen,1,661981
Tripura,Bharatiya Janata Party,2,1658788
Uttar Pradesh,Samajwadi Party,37,18826855
Uttar Pradesh,Bharatiya Janata Party,33,18220299
Uttar Pradesh,Indian National Congress,6,3488054
Uttar Pradesh,Rashtriya Lok Dal,2,893460
Uttar Pradesh,Aazad Samaj Party (Kanshi Ram),1,512552
Uttar Pradesh,Apna Dal (Soneylal),1,471631
Uttarakhand,Bharatiya Janata Party,5,2750408
West Bengal,All India Trinamool Congress,29,20185370
West Bengal,Bharatiya Janata Party,12,8093428
West Bengal,Indian National Congress,1,572395
