state,leading_party,leading_party_seats
Andaman & Nicobar Islands,Bharatiya Janata Party,1
Andhra Pradesh,Telugu Desam,16
Arunachal Pradesh,Bharatiya Janata Party,2
Assam,Bharatiya Janata Party,9
Bihar,Bharatiya Janata Party,12
Chandigarh,Indian National Congress,1
Chhattisgarh,Bharatiya Janata Party,10
Dadra & Nagar Haveli and Daman & Diu,Bharatiya Janata Party,1
Goa,Bharatiya Janata Party,1
Gujarat,Bharatiya Janata Party,24
Haryana,Bharatiya Janata Party,5
Himachal Pradesh,Bharatiya Janata Party,4
Jammu and Kashmir,Bharatiya Janata Party,2
Jharkhand,Bharatiya Janata Party,8
Karnataka,Bharatiya Janata Party,17
Kerala,Indian National Congress,14
Ladakh,Independent,1
Lakshadweep,Indian National Congress,1
Madhya Pradesh,Bharatiya Janata Party,29
Maharashtra,Indian National Congress,13
Manipur,Indian National Congress,2
Meghalaya,Indian National Congress,1
Mizoram,Zoram People’s Movement,1
NCT OF Delhi,Bharatiya Janata Party,7
Nagaland,Indian National Congress,1
Odisha,Bharatiya Janata Party,20
Puducherry,Indian National Congress,1
Punjab,Indian National Congress,7
Rajasthan,Bharatiya Janata Party,14
Sikkim,Sikkim Krantikari Morcha,1
Tamil Nadu,Dravida Munnetra Kazhagam,22
Telangana,Bharatiya Janata Party,8
Tripura,Bharatiya Janata Party,2
Uttar Pradesh,Samajwadi Party,37
Uttarakhand,Bharatiya Janata Party,5
West Bengal,All India Trinamool Congress,29
